"","NC.1","NC.2","NC.3","NC.4","HFD.1","HFD.2","HFD.3","HFD.4","HFD.5","CPT.1","CPT.2","CPT.3","CPT.4","CPT.5"
"17431350",4.64061658703204,4.85861623619924,4.16561261275683,4.53397866856053,4.65657790227334,4.95159262597254,4.82271160925031,4.53319019752359,4.77503040913951,4.10245262897309,4.34937411544029,4.86704475895758,4.31401160641352,4.55429915202457
"17254289",5.33943057241046,5.27148077737901,5.3010808774146,5.76179000853538,5.00019585578938,5.34910999125875,5.00501202125378,5.34195657821128,4.84361651945301,5.07057336165473,5.04763285923861,5.71689659167874,4.7456075908271,5.51140016239664
"17390614",2.35764570941921,1.99232291264564,1.96718876934995,1.84720925783243,2.10196627528458,2.16082216062284,1.24705727198754,2.20707179535847,1.90000422184741,2.10959823173979,1.9206561053826,2.20246402990606,1.83957802152207,2.00796371111421
"17285803",1.23257294611102,1.22918606115192,1.3315458474767,1.34373329989924,1.25425261530954,1.56957453636316,1.47010098872688,1.49969362009569,1.42302228904885,1.35663051048831,1.60471827751426,1.67854638208391,1.51056245018982,1.58537168775493
"17455986",2.38946904238702,2.22415862858269,2.39193068834662,2.24487849490236,2.47201390438713,2.0403125929094,2.5805618664721,2.34503072689133,2.2040210707786,2.00770246959808,2.35864220056269,1.87730607720401,2.19374546631103,2.13847680689986
"17497975",2.94996725300462,2.65323344668014,2.83148130692958,2.69940010519083,3.07265338935016,3.10189372996454,2.96258133405986,2.96191794275783,3.10933554298332,3.21198037988234,2.86577223716552,3.04542802109829,2.84624031928055,2.8227516312335
"17334200",2.85601892195926,2.60000384327278,2.43266762824371,2.32288909614944,2.69717601191325,2.85575636570996,2.65343934632553,2.8134596427401,2.63358569079125,2.71155961759003,2.54181558025627,2.39468673261887,2.37880386905919,2.48226395929925
"17433166",1.61747364641142,1.66005834424016,1.92684571161103,1.76752119011126,1.64181821940544,1.86333091212527,1.97250129639119,1.67690638686132,2.03914398473534,1.68386542497196,1.59228734880945,1.65787377872464,1.68386542497196,1.42324505538191
"17302724",7.93032169659694,8.27840909287015,8.40720458454553,8.37776770948925,7.88933977267757,8.18903050841399,7.71064045413372,7.99445428789269,8.06623818565645,8.82507730036902,8.21395325630018,8.05531995994216,9.02602381578737,8.08902653602123
"17340631",2.32047241859571,3.05140743482735,3.0933733001877,3.54983060400026,3.56519864502142,4.18510141904934,3.42564306650944,2.98444773996686,2.94583104027131,3.74383724674325,3.54670522622652,2.60312302023375,2.47250760051302,3.20073279957256
"17485698",1.99362504962787,2.22024299947843,2.06234524537059,1.95382185999525,2.29107536983928,2.25965834479588,2.01937993818501,2.11380291295611,2.58739858405083,2.13915189720741,2.21670850663279,2.27116490199626,2.1610795978129,2.05832252565944
"17427113",2.32328943703767,2.33100406988319,2.33053051004125,2.39841733130572,2.28012194796569,2.37072865822317,2.40082155188958,2.69844954796689,2.58652554031899,2.61063356315199,2.40384629296068,2.66009911124602,2.43136728711912,2.44499632796279
"17460681",2.36147725481963,2.25005185400524,2.40546890543319,2.1862429714466,2.28566286604753,2.1926078699639,2.08423118316232,2.41532081051022,2.22930191069386,2.43552043728646,1.98790180902362,2.05666749805831,2.10093850354758,2.14304152987673
"17290967",1.45258632873306,1.45305695237358,1.41623602190316,1.50713614048884,1.29848426312198,1.28853005466273,1.86765498500571,1.71439366119517,1.46642084526544,1.50444326021234,1.61756063011437,1.56029932861239,1.33103223995139,1.77295043642359
"17277919",2.05100888620281,1.76418600418093,2.18172000245805,1.98217631781825,1.82386601912097,1.92790837794806,2.07634587442671,1.92328647590867,1.7966935588353,2.04515532936292,2.04533105586483,1.8084798459445,1.83423414264712,1.79307219605421
"17488561",2.01112843384146,1.60439133545118,1.48076234143076,1.80363666970598,1.90201618468834,1.83454043065956,1.83753100022719,1.86219229585942,1.89769084802311,1.95207633952438,1.94443667718816,1.83778039743802,1.85131527635061,1.63198162701076
"17506270",1.60581916020904,1.58303262301938,1.75936819445311,1.70823151489728,1.77460157356561,1.3897188958139,1.62895577369305,1.65720732837122,1.75341700725934,1.64695618643011,1.51685334500453,1.71040407214496,1.26417604309953,1.46184396255482
"17409280",1.81246794926106,2.05426091110644,1.66837394358224,1.83860936276305,2.35247245181513,2.01367293454521,1.75292920963934,1.93680101214098,1.97368052481607,1.73174382367486,1.78932094882879,1.85342386909128,1.64740840313304,1.86515335606477
"17389132",1.32672695101401,1.56590716370506,1.41824563388829,1.56469013626363,1.86820017357769,1.69763738137417,1.44362051401842,1.74397522678713,1.81589514038505,1.65167535048503,1.73213570086717,1.85791503173346,1.54168120004027,1.63950345529682
"17408067",2.84853618435254,2.89016330057391,3.25674780061534,1.8732353522819,2.81103898986045,6.67030619897969,4.66106173565359,4.20153362137166,4.84528905972265,3.7996810618929,3.57051099667513,4.18512071120908,6.77084020498431,4.4691317445761
"17341175",2.0659391321817,1.97038940990212,1.97416310028161,1.83646294195275,1.7463375546057,1.97007438211242,2.11767159299275,2.17208430646279,2.04949630170513,2.07236973283194,1.89730875941552,1.59434853698315,1.92190570381296,1.81189849317616
"17443128",2.27274611098057,2.17782220508445,2.17062480954898,2.10310947300388,2.05491639603341,2.13565863524709,2.34264156069879,2.4160355036424,1.98010471415386,2.67042332224151,2.36116287148679,2.51342974074083,2.25981482369643,2.05652046471112
"17366988",1.68299375819305,2.240575921223,2.05054983179205,2.07212668957624,1.899634324734,2.26579589924571,2.02083663993904,1.83616476723394,1.98426537126471,2.2335373294349,1.94866434834436,2.36101204670752,2.03875601886422,1.95282915297394
"17527465",2.35888766746133,2.20238417522477,2.11503722441249,2.44994553648839,2.59186250419079,2.46364087028675,2.18914719542371,2.50491622025121,2.5118873641278,2.2582759347176,2.38262056569151,2.38345169595609,1.88146691127805,2.46072552144879
"17406264",1.7957610396255,1.85080604515923,1.63385927380888,1.70269136352412,1.5870729809999,1.85002803662389,1.73293612912832,1.64876973406798,1.55195756261189,1.90024728771733,1.59397192129563,1.9286430044128,1.88555125361592,1.79594361146979
"17268328",1.78503784318416,2.07775389434663,1.83930233531549,2.10045721735547,2.09485482728232,1.7994127916991,1.88476232526156,2.00444817205637,1.8411304959308,1.92147380571629,2.23385129990973,1.8838820291171,1.70197978300682,1.90996168282189
"17319103",3.10938705811056,3.26765590441357,3.04773785555787,3.19658298601691,3.33351717538725,3.80678261323808,3.73983942448417,3.39057120191603,3.82410886109268,3.17279637183139,3.29976731116168,3.35662462558821,3.45821029146632,3.60328153507179
"17310316",1.61391315873868,1.93122697051833,1.82815572949449,1.8432876696056,1.69705218685105,1.86384048448125,1.8993624397362,1.91673639602229,1.73141385562384,1.6943085943319,1.94413287217795,1.97095582245308,1.61096656056555,1.65421618478225
"17359672",7.35451813925681,6.52321493456141,6.56361866973873,6.58249919222926,6.7852444208502,6.99036864509777,7.64442927834829,7.32782373425315,6.91533148719742,6.55859654006301,6.70887534819345,6.97176477291848,6.55544757227514,7.20079122468421
"17217237",2.02822852956235,1.98174240545366,2.06797963221229,1.9716132695133,1.99791511364685,2.05577265929894,1.71239447145737,2.13678144370668,2.14797584522704,2.46289557389986,1.89977999065135,2.15248276465348,1.85072322202185,2.20991643015732
"17318422",2.54994476293871,2.0243696424716,2.30149058799721,2.6584723375369,1.90831211926962,1.9920557127099,2.33315629007751,2.25880189232225,2.23663026067737,1.97562362150974,2.42611862566938,2.1176673282189,2.44113816243825,2.31196695386847
"17383672",1.9006781486177,1.81927583118221,1.71540993337501,1.59990750380075,1.88284902024011,1.79111209000299,1.89119949350705,1.78120958251074,2.0193497650333,1.78774261762576,1.64051736028693,1.834427438746,1.77153080166634,1.63128708378786
"17511466",1.54143664943107,1.59782600543799,1.57362678155762,1.55027036413016,1.92958212640376,1.56903668227927,1.66192502463466,1.82676852441197,1.51793952951123,1.74140412442493,1.87832588006763,1.60501581364015,1.65888077145034,1.87832588006763
"17277934",1.72624357106014,1.51246145674505,1.71667022039187,1.37290493234557,1.76438958076621,1.56020185864254,1.87954641546985,1.98093022266411,1.86789094037133,1.78503784318416,1.804770416966,1.62190295103386,1.5756571492306,2.04976643587703
"17459696",2.36142258676222,1.97505196873136,1.6905094255542,1.86821828032731,2.16732723784675,2.16002572248277,1.8870640518375,1.85385047693919,1.73037312118315,1.79184080185255,1.78925245207699,1.63929869306405,1.48524192611681,1.87501514820929
"17240819",4.4747766241275,5.48460225318352,5.09895274992867,4.29603364106514,3.95655508111995,4.16806529903208,4.8382142255399,5.04796582603081,5.38167313858492,4.37739552320574,4.35401821256539,4.20909579055423,5.77972225201979,4.12317310556748
"17316820",1.51692888055961,1.37583418512022,1.2509030302849,1.34384962670716,1.50601690325274,1.73847050857828,1.44582076022277,1.76924380467004,1.47159979696395,1.66388408893049,1.53558352892992,1.60154497668431,1.11799206690385,1.70038715093142
"17371281",1.99059811056047,2.10995347046565,2.23663026067737,1.84223801179283,2.06957026641843,1.99710734868939,2.19716773494325,2.35182594292891,1.96063010922033,2.26674482707884,2.0415726038943,2.34751917456151,1.83423414264712,1.9255106903882
"17348069",2.3552793383855,2.58689287760943,2.20710060957792,2.37513453509086,3.26658532440799,2.59676856208561,2.54629738062709,2.20686836518773,2.85360906709255,2.25033296897942,2.16036384231396,2.16969824637842,2.42930570728912,2.22295359817534
"17300181",1.61527602311366,1.63530779015431,2.6878705559407,1.88149516187205,1.44392406357835,1.58566567449641,1.89570492382907,1.84818450728112,1.63407725081457,1.86082986845357,1.53380421093558,1.85274405509444,2.10046796801688,1.92916085262522
"17330162",1.69728867121364,1.58263239851513,1.97488992870592,1.77241937160533,1.99017609234475,2.28870673932298,2.02252873244626,2.06912780502192,2.26036998272152,1.83032117505598,1.81316286527564,1.49855015181822,1.92839994850886,1.61546120116005
